Distance_(microns),eve,en,mlpt,hb,kr,gt,svb,cad,runt,odd
107,237.4500505,234.2684157,566.0262361,1355.509586,697.6155399,195.1453078,786.7214934,265.8587286,717.2916246,366.5519677
108,234.8617558,233.9202825,565.6226034,1361.311806,703.1927346,194.1705348,785.2563068,263.0090817,716.4127144,364.2916246
109,234.7729566,232.5610494,564.6851665,1355.982846,703.8405651,193.1261352,785.1644803,261.9919273,713.9142281,362.5600404
110,235.6316852,232.9021191,566.4167508,1341.745711,701.1069627,192.8062563,780.2583249,260.5933401,711.6720484,362.864783
111,236.0877901,234.135217,569.2189707,1336.716448,699.7628658,193.7124117,775.2250252,257.542886,707,362.8476287
112,238.5116044,235.0534813,567.0161453,1346.496468,700.1654894,193.7608476,773.2452069,254.8183653,701.024218,360.3683148
113,241.0211907,234.2512614,563.2199798,1356.041372,701.6609485,192.3723512,776.7366297,254.0908174,694.7860747,357.7830474
114,244.4530777,234.2250252,560.5822402,1365.335015,701.7225025,191.8193744,780.1553986,257.39556,689.7396569,357.925328
115,243.6841574,234.7023209,559.814329,1377,699.5277497,191.8486377,782.5196771,262.9354188,691.6851665,358.80222
116,243.6337033,235.3410696,564.6619576,1382.092836,695.7921292,191.4328961,785.4409687,265.8536831,697.148335,358.6680121
117,244.1775984,236.7719475,570.049445,1378.244198,695.974773,191.3440969,782.1442987,265.024218,700.2674067,359.0030272
118,245.5206862,238.7023209,573.876892,1380.986882,696.6387487,191.9091826,776.8032291,263.5257316,698.9465187,360.691221
119,246.6236125,239.445005,573.4409687,1387.978809,693.4883956,191.5731584,773.2603431,264.1019173,693.2462159,361.8577195
120,247.7043391,238.8718466,570.7204844,1398.196771,689.6326942,191.5822402,768.9091826,265.2441978,690.4409687,361.9909183
121,248.0413724,238.0393542,565.5479314,1400.413724,690.8597376,192.4106963,761.974773,264.5176589,693.8224016,361.3390515
122,246.7396569,239.6962664,558.6579213,1398.645812,692.3027245,192.7689203,759.6094854,262.1342079,696.1220989,360.1866801
123,246.90111,240.1463169,550.8102926,1399.268416,687.8920283,192.9273461,763.358224,261.0877901,694.8546922,361.5570131
124,248.0484359,238.6326942,546.9283552,1393.853683,685.962664,193.445005,767.5792129,262.8072654,695.8859738,364.4944501
125,248.2825429,237.0040363,544.8244198,1379.723512,689.5126135,194.3965691,772.5348133,264.716448,698.0332997,365.592331
126,246.5146317,234.839556,540.2603431,1361.328961,694.641776,193.3683148,777.3340061,266.0221998,701.5025227,365.2956609
127,245.1271443,234.7507568,536.4540868,1338.243189,699.5913219,191.2542886,782.5570131,267.4127144,706.308779,362.8688194
128,247.3410696,235.7356206,537.4550959,1324.712412,699.7204844,191.5116044,785.975782,268.4127144,710.4550959,362.4157417
129,251.7951564,235.5247225,535.0151362,1332.107972,695.9525732,193.3491423,789.394551,268.7235116,711.4248234,365.8859738
130,254.9515641,235.3259334,535.5771948,1355.097881,694.235116,194.8819374,792.8254289,266.9838547,710.1614531,369.9798184
131,255.7891019,234.3017154,541.4127144,1379.640767,696.8920283,194.5418769,795.9223007,267.1281534,708.2018163,373.4994955
132,255.2411705,233.8092836,545.8597376,1397.64783,698.7891019,193.4752775,798.4661958,267.7537841,706.0787084,373.2805247
133,255.6760848,235.2260343,547.4460141,1412.729566,693.0645812,193.0534813,797.1907164,269.8082745,704.629667,369.7820383
134,259.0928355,237.4278507,545.6861756,1431.006054,688.6306761,193.4712412,796.1281534,270.2754793,707.4772957,364.3763875
135,263.9445005,239.3350151,543.8335015,1449.299697,689.9515641,192.5136226,794.6246216,270.3410696,707.8254289,360.8506559
136,267.4399596,240.1907164,543.0504541,1453.660949,689.9848638,191.5075681,793.4742684,268.5358224,704.9354188,362.4702321
137,271.0312815,240.9939455,541.0181635,1444.455096,691.7749748,192.2946519,793.382442,264.9081736,703.7346115,368.6841574
138,272.8839556,241.7194753,537.037336,1435.487386,692.4167508,191.3471241,791.7840565,262.9919273,704.1372351,377.6498486
139,272.4611504,241.1079717,533.7305752,1433.730575,690.1372351,192.1382442,785.6952573,263.90111,706.2754793,383.2300706
140,270.1695257,237.2371342,530.2512614,1434.942482,690.925328,193.8213925,780.3622603,266.5610494,705.4823411,383.1715439
141,267.9465187,236.8213925,524.3622603,1432.442987,691.074672,194.5025227,779.0454087,269.7103935,702.2068618,378.5983855
142,264.9394551,240.1291625,517.8042381,1421.158426,687.1210898,194.1130172,781.9596367,271.8980827,707.5005045,375.6528759
143,261.7255298,243.9394551,516.4894046,1410.871847,683.9939455,194.4621594,784.4238143,270.9798184,713.2189707,375.1170535
144,259.8950555,243.6720484,519.5600404,1406.513623,687.7568113,194.2502523,783.7598385,268.3360242,715.7598385,375.530777
145,259.4399596,243.1220989,521.3148335,1400.095863,692.394551,194.0272452,785.5136226,268.6508577,717.8284561,375.037336
146,258.9545913,242.0191726,520.0565086,1391.614531,696.8839556,193.7840565,789.4137235,269.2391524,718.4833502,374.6125126
147,258.6125126,241.3662967,513.715439,1384.839556,698.394551,194.29667,793.8032291,268.3289606,717.9424823,374.024218
148,261.7850656,241.0716448,511.1685166,1383.910192,699.172553,195.2936428,796.3612513,265.4026236,720.358224,371.2018163
149,266.5418769,240.1069627,514.9041372,1390.843592,703.8758829,194.7235116,800.4207871,264.5267407,722.3017154,371.0161453
150,269.7114026,239.5035318,515.7457114,1399.490414,712.7023209,194.2815338,808.3965691,265.1019173,722.1220989,372.4853683
151,271.8324924,240.3319879,515.0534813,1406.677094,715.5206862,196.3844601,813.3390515,266.8072654,721.5993946,372.7608476
152,273.1927346,243.2986882,514.7336024,1405.905146,712.7941473,197.0322906,814.691221,267.7487386,720.0968718,372.4661958
